2026-06-05 10:19:16,863 [INFO] Connesso: COM5 @ 9600
2026-06-05 10:19:21,439 [DEBUG] RX #0001 | testo='OPEN:1234:CNT:0001\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 31 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:19:29,669 [DEBUG] TX #0001 | 32 byte | replay #0001 | testo='OPEN:1234:CNT:0001\n'
2026-06-05 10:21:29,541 [DEBUG] RX #0002 | testo='OPEN:1234:CNT:0002\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 32 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:21:41,164 [DEBUG] RX #0003 | testo='OPEN:1234:CNT:0003\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 33 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:21:45,561 [DEBUG] RX #0004 | testo='OPEN:1234:CNT:0004\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 34 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:21:48,294 [DEBUG] RX #0005 | testo='OPEN:1234:CNT:0005\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 35 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:22:00,416 [DEBUG] RX #0006 | testo='OPEN:1234:CNT:0006\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 36 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:22:00,713 [DEBUG] RX #0007 | testo='OPEN:1234:CNT:0007\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 37 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:22:05,499 [DEBUG] RX #0008 | testo='OPEN:1234:CNT:0008\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 38 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:24:24,176 [ERROR] Errore lettura: GetOverlappedResult failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:24,678 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:25,180 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:25,684 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:26,186 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:26,688 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:27,190 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:27,692 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:28,196 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:28,700 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:29,202 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:29,704 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:30,210 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:30,713 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:31,216 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:31,723 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:32,227 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:32,728 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:33,230 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
